order_id,customer_id,gender,age,city,product,category,order_datequatity,,unitprice,total_amount
1,C1408,F,29,Calgary,Smartwatch,Electronics,2025-01-17,1,170.06,170.06
2,C0320,M,53,Halifax,Jeans,Clothing,2025-07-12,1,49.85,49.85
3,C0219,M,26,Montreal,Air Fryer,Home,2025-07-31,2,100.05,200.1
4,C1194,F,43,Ottawa,Camera,Electronics,2025-05-06,2,338.52,677.04
5,C1437,F,39,Halifax,Lotion,Beauty,2025-05-06,4,20.13,80.52
6,C0419,F,48,Winnipeg,Lotion,Beauty,2025-05-10,1,20.31,20.31
7,C1140,M,65,Ottawa,Lotion,Beauty,2025-05-25,1,18.21,18.21
8,C0606,F,61,Edmonton,Hoodie,Clothing,2025-09-13,1,42.8,42.8
9,C0069,M,47,Halifax,Blender,Home,2025-01-23,2,87.35,174.7
10,C1311,F,32,Montreal,Lamp,Home,2025-08-02,2,42.87,85.74
11,C0683,F,64,Calgary,Lipstick,Beauty,2025-05-09,2,16.25,32.5
12,C0969,F,50,Ottawa,Jacket,Clothing,2025-01-12,4,90.01,360.04
13,C0461,F,20,Vancouver,Dress,Clothing,2025-05-21,2,60.55,121.1
14,C1003,M,51,Vancouver,Serum,Beauty,2025-09-25,1,40.53,40.53
15,C0149,F,34,Halifax,Lipstick,Beauty,2025-02-26,2,15.11,30.22
16,C0193,F,61,Winnipeg,Lotion,Beauty,2025-03-27,2,20.07,40.14
17,C1257,M,22,Vancouver,Camera,Electronics,2025-10-01,1,345.93,345.93
18,C0162,F,47,Halifax,Smartwatch,Electronics,2025-04-13,1,169.28,169.28
19,C0976,M,60,Edmonton,Headphones,Electronics,2025-05-23,2,75.73,151.46
20,C1482,M,32,Calgary,Camera,Electronics,2025-06-25,1,301.97,301.97
21,C0742,M,56,Calgary,Kettle,Home,2025-05-13,2,28.14,56.28
22,C0553,M,25,Toronto,Perfume,Beauty,2025-09-21,1,48.08,48.08
23,C0162,M,59,Toronto,Keyboard,Electronics,2025-05-27,4,36.89,147.56
